match_id,over,ball,batsman,bowler,batsman_runs,extra_runs,total_runs,dismissal_kind,player_dismissed
1001,15,1,Virat Kohli,Jasprit Bumrah,1,0,1,,
1001,15,2,MS Dhoni,Jasprit Bumrah,0,0,0,,
1001,15,3,Ruturaj Gaikwad,Jasprit Bumrah,4,0,4,,
1001,15,4,Rinku Singh,Jasprit Bumrah,1,1,2,,
1001,15,5,Hardik Pandya,Jasprit Bumrah,6,0,6,,
1001,15,6,Heinrich Klaasen,Jasprit Bumrah,2,0,2,,
1001,16,1,Virat Kohli,Rashid Khan,1,0,1,,
1001,16,2,MS Dhoni,Rashid Khan,4,0,4,,
1001,16,3,Ruturaj Gaikwad,Rashid Khan,0,0,0,caught,Ruturaj Gaikwad
1001,16,4,Rinku Singh,Rashid Khan,1,0,1,,
1001,16,5,Hardik Pandya,Rashid Khan,2,0,2,,
1001,16,6,Heinrich Klaasen,Rashid Khan,6,0,6,,
1001,17,1,Virat Kohli,Ravindra Jadeja,4,0,4,,
1001,17,2,MS Dhoni,Ravindra Jadeja,1,0,1,,
1001,17,3,Rinku Singh,Ravindra Jadeja,1,0,1,,
1001,17,4,Hardik Pandya,,2,0,2,,
1001,17,5,Heinrich Klaasen,Ravindra Jadeja,4,0,4,,
1001,17,6,Virat Kohli,Ravindra Jadeja,1,0,1,,
1001,18,1,MS Dhoni,Mitchell Starc,6,0,6,,
1001,18,2,Rinku Singh,Mitchell Starc,4,0,4,,
1001,18,3,Hardik Pandya,Mitchell Starc,0,0,0,bowled,Hardik Pandya
1001,18,4,Heinrich Klaasen,Mitchell Starc,6,0,6,,
1001,18,5,Virat Kohli,Mitchell Starc,1,0,1,,
1001,18,6,MS Dhoni,Mitchell Starc,4,0,4,,
1001,19,1,Rinku Singh,Yuzvendra Chahal,2,0,2,,
1001,19,2,Heinrich Klaasen,Yuzvendra Chahal,6,1,7,,
1001,19,3,Virat Kohli,Yuzvendra Chahal,1,0,1,,
1001,19,4,MS Dhoni,Yuzvendra Chahal,4,0,4,,
1001,19,5,Rinku Singh,Yuzvendra Chahal,6,0,6,,
1001,19,6,Heinrich Klaasen,Yuzvendra Chahal,1,0,1,lbw,Heinrich Klaasen
1002,15,1,Hardik Pandya,Jasprit Bumrah,1,0,1,,
1002,15,2,Virat Kohli,Jasprit Bumrah,0,0,0,,
1002,15,3,MS Dhoni,Jasprit Bumrah,1,0,1,,
1002,15,4,Ruturaj Gaikwad,Jasprit Bumrah,2,0,2,,
1002,15,5,Rinku Singh,Jasprit Bumrah,1,0,1,,
1002,15,6,Heinrich Klaasen,Jasprit Bumrah,0,0,0,caught,Heinrich Klaasen
1002,16,1,Hardik Pandya,Rashid Khan,4,0,4,,
1002,16,2,Virat Kohli,Rashid Khan,1,0,1,,
1002,16,3,MS Dhoni,Rashid Khan,2,0,2,,
1002,16,4,Ruturaj Gaikwad,Rashid Khan,4,0,4,,
1002,16,5,Rinku Singh,Rashid Khan,1,0,1,,
1002,16,6,Hardik Pandya,Rashid Khan,0,0,0,,
1002,17,1,Virat Kohli,Ravindra Jadeja,1,0,1,,
1002,17,2,MS Dhoni,Ravindra Jadeja,6,0,6,,
1002,17,3,Ruturaj Gaikwad,Ravindra Jadeja,1,0,1,,
1002,17,4,Rinku Singh,Ravindra Jadeja,4,0,4,,
1002,17,5,Hardik Pandya,Ravindra Jadeja,1,0,1,,
1002,17,6,Virat Kohli,Ravindra Jadeja,2,0,2,,
1002,18,1,MS Dhoni,Mitchell Starc,4,0,4,,
1002,18,2,Ruturaj Gaikwad,Mitchell Starc,0,0,0,bowled,Ruturaj Gaikwad
1002,18,3,Rinku Singh,Mitchell Starc,6,0,6,,
1002,18,4,Hardik Pandya,Mitchell Starc,1,0,1,,
1002,18,5,Virat Kohli,Mitchell Starc,4,0,4,,
1002,18,6,MS Dhoni,Mitchell Starc,1,0,1,,
1002,19,1,Rinku Singh,Yuzvendra Chahal,1,0,1,,
1002,19,2,Hardik Pandya,Yuzvendra Chahal,4,0,4,,
1002,19,3,Virat Kohli,Yuzvendra Chahal,6,0,6,,
1002,19,4,MS Dhoni,Yuzvendra Chahal,2,0,2,,
1002,19,5,Rinku Singh,Yuzvendra Chahal,1,0,1,,
1002,19,6,Hardik Pandya,Yuzvendra Chahal,0,0,0,stumped,Hardik Pandya
1003,15,1,Ruturaj Gaikwad,Jasprit Bumrah,1,0,1,,
1003,15,2,Rinku Singh,Jasprit Bumrah,0,0,0,,
1003,15,3,Hardik Pandya,Jasprit Bumrah,1,0,1,,
1003,15,4,Heinrich Klaasen,Jasprit Bumrah,4,0,4,,
1003,15,5,Virat Kohli,Jasprit Bumrah,1,0,1,,
1003,15,6,MS Dhoni,Jasprit Bumrah,2,0,2,,
1003,16,1,Ruturaj Gaikwad,Rashid Khan,1,0,1,,
1003,16,2,Rinku Singh,Rashid Khan,4,0,4,,
1003,16,3,Hardik Pandya,Rashid Khan,6,0,6,,
1003,16,4,Heinrich Klaasen,Rashid Khan,1,0,1,,
1003,16,5,Virat Kohli,Rashid Khan,0,0,0,caught,Virat Kohli
1003,16,6,MS Dhoni,Rashid Khan,2,0,2,,
1003,17,1,Ruturaj Gaikwad,Ravindra Jadeja,4,0,4,,
