Match,Toss Won,Venue,Batting Form,Recent Form,Result
1,Yes,Mumbai,Good,Strong,Win
2,Yes,Chennai,Good,Average,Lose
3,No,Mumbai,Good,Weak,Lose
4,Yes,Chennai,Good,Strong,Lose
5,No,Chennai,Poor,Weak,Lose
6,Yes,Chennai,Good,Strong,Win
7,No,Mumbai,Good,Average,Win
8,Yes,Chennai,Poor,Strong,Win
9,No,Mumbai,Good,Weak,Win
10,No,Mumbai,Poor,Weak,Lose
11,Yes,Chennai,Good,Strong,Win
12,Yes,Chennai,Good,Average,Win
13,No,Mumbai,Poor,Weak,Lose
14,Yes,Chennai,Poor,Strong,Win
15,No,Chennai,Poor,Weak,Lose
16,Yes,Mumbai,Good,Strong,Win
17,No,Mumbai,Good,Average,Win
18,Yes,Chennai,Poor,Strong,Win
19,No,Chennai,Good,Weak,Lose
20,No,Mumbai,Poor,Weak,Lose
21,Yes,Chennai,Good,Strong,Win
22,Yes,Chennai,Good,Weak,Win
23,No,Mumbai,Poor,Weak,Lose
24,Yes,Chennai,Good,Strong,Win
25,No,Chennai,Poor,Average,Lose
26,No,Mumbai,Good,Strong,Win
27,No,Mumbai,Poor,Average,Lose
28,Yes,Chennai,Poor,Strong,Win
29,No,Chennai,Good,Weak,Lose
30,No,Mumbai,Poor,Weak,Lose
31,Yes,Chennai,Good,Strong,Lose
32,No,Chennai,Good,Weak,Lose
33,No,Mumbai,Poor,Strong,Lose
34,Yes,Chennai,Good,Strong,Win
35,No,Chennai,Poor,Weak,Lose
36,Yes,Mumbai,Good,Strong,Win
37,Yes,Mumbai,Good,Average,Win
38,Yes,Chennai,Poor,Strong,Win
39,No,Chennai,Good,Weak,Lose
40,No,Mumbai,Poor,Weak,Lose
41,Yes,Chennai,Good,Strong,Lose
42,Yes,Chennai,Good,Average,Win
43,No,Mumbai,Poor,Weak,Lose
44,Yes,Chennai,Good,Strong,Win
45,No,Mumbai,Poor,Weak,Lose
46,Yes,Mumbai,Good,Strong,Win
47,No,Mumbai,Good,Average,Win
48,Yes,Chennai,Poor,Strong,Win
49,No,Chennai,Good,Weak,Lose
50,No,Mumbai,Poor,Weak,Win
51,Yes,Chennai,Good,Strong,Win
52,Yes,Chennai,Poor,Average,Win
53,No,Mumbai,Poor,Weak,Lose
54,Yes,Chennai,Good,Strong,Win
55,No,Chennai,Poor,Weak,Lose
56,Yes,Mumbai,Good,Strong,Win
57,No,Mumbai,Good,Weak,Lose
58,Yes,Mumbai,Poor,Strong,Win
59,No,Chennai,Good,Strong,Win
60,No,Mumbai,Good,Weak,Lose
61,Yes,Mumbai,Good,Strong,Win
62,No,Chennai,Good,Average,Win
63,No,Mumbai,Poor,Weak,Lose
64,Yes,Chennai,Good,Strong,Win
65,No,Chennai,Poor,Weak,Lose
66,Yes,Mumbai,Good,Strong,Win
67,Yes,Mumbai,Good,Average,Win
68,Yes,Chennai,Poor,Strong,Win
69,No,Mumbai,Good,Weak,Lose
70,No,Mumbai,Poor,Average,Lose
71,Yes,Chennai,Good,Strong,Win
72,Yes,Chennai,Good,Average,Win
73,No,Mumbai,Good,Weak,Lose
74,Yes,Chennai,Good,Strong,Lose
75,No,Chennai,Poor,Weak,Lose
76,Yes,Mumbai,Good,Strong,Win
77,No,Mumbai,Good,Average,Win
78,Yes,Chennai,Poor,Average,Win
79,No,Chennai,Good,Weak,Lose
80,No,Mumbai,Poor,Weak,Lose
81,Yes,Chennai,Good,Strong,Win
82,Yes,Chennai,Poor,Average,Win
83,No,Chennai,Poor,Weak,Lose
84,Yes,Chennai,Good,Strong,Lose
85,No,Chennai,Poor,Weak,Lose
86,Yes,Mumbai,Poor,Strong,Win
87,No,Mumbai,Good,Average,Win
88,Yes,Chennai,Poor,Strong,Win
89,No,Chennai,Good,Weak,Lose
90,No,Mumbai,Poor,Weak,Lose
91,Yes,Chennai,Poor,Strong,Win
92,Yes,Chennai,Good,Average,Win
93,No,Chennai,Poor,Weak,Lose
94,Yes,Chennai,Good,Strong,Win
95,No,Chennai,Poor,Average,Lose
96,Yes,Mumbai,Good,Strong,Win
97,No,Mumbai,Good,Average,Win
98,Yes,Chennai,Poor,Strong,Win
99,No,Chennai,Good,Weak,Lose
100,No,Chennai,Poor,Weak,Lose
